name,brand,price,link,shop_rating
"UMIDIGI A11 Smartphone Android 11 Helio G25 64GB 128GB 6.53""16MP AI Triple Camera HD+ 5150mAh A11 Global Version",UMIDIGI,439.00,//www.lazada.com.my/products/umidigi-a11-smartphone-android-11-helio-g25-64gb-128gb-65316mp-ai-triple-camera-hd-5150mah-a11-global-version-i2163259689.html,5.0
"UMIDIGI BISON Pro Global Version Smartphone 128GB IP68/IP69K Helio G80 NFC 48MP Camera 6.3""FHD+ Full Screen 5000mAh",UMIDIGI,699.00,//www.lazada.com.my/products/umidigi-bison-pro-global-version-smartphone-128gb-ip68ip69k-helio-g80-nfc-48mp-camera-63fhd-full-screen-5000mah-i2405115220.html,4.866666666666666
"UMIDIGI A9(3GB RAM+64GB ROM) Smartphone Android 11 ,1 Year UMIDIGI Warranty,Free Shipping",UMIDIGI,419.00,//www.lazada.com.my/products/umidigi-a93gb-ram64gb-rom-smartphone-android-11-1-year-umidigi-warrantyfree-shipping-i1906788499.html,5.0
[READY STOCKS] Redmi Note 11 (128GB ROM | 6GB RAM) Smartphone with 1 Year Xiaomi Malaysia Warranty,Xiaomi,769.00,//www.lazada.com.my/products/ready-stocks-redmi-note-11-128gb-rom-6gb-ram-smartphone-with-1-year-xiaomi-malaysia-warranty-i2795445729.html,5.0
"UMIDIGI A9 Pro (4GB RAM+64GB ROM) Smartphone,Free Shipping,1 Year UMIDIGI Warranty",UMIDIGI,459.00,//www.lazada.com.my/products/umidigi-a9-pro-4gb-ram64gb-rom-smartphonefree-shipping1-year-umidigi-warranty-i1826000993.html,5.0
"UMIDIGI Power 5S Global Version Smartphone 6.53"" HD+ Display 16MP Triple Camera 4GB 32GB 6150mAh Cellphone",UMIDIGI,409.00,//www.lazada.com.my/products/umidigi-power-5s-global-version-smartphone-653-hd-display-16mp-triple-camera-4gb-32gb-6150mah-cellphone-i2628728198.html,
"Vivo V25 5G Smartphone (8GB RAM + 256GB) 4500mAh supports up to 44W(11V/4A),6.44"" in the full rectangle, 50MP front camera,64MP + 8MP + 2MP rear camera - 1 year warranty by Vivo Malaysia",Vivo.,1620.00,//www.lazada.com.my/products/vivo-v25-5g-smartphone-8gb-ram-256gb-4500mah-supports-up-to-44w11v4a644-in-the-full-rectangle-50mp-front-camera64mp-8mp-2mp-rear-camera-1-year-warranty-by-vivo-malaysia-i3166746911.html,5.0
NEW!!! Nokia 105 4th Edition -Dual SIM (2019) with dual-SIM card slots WARRANTY 1 YEAR FOR NOKIA MALAYSIA,Nokia,89.00,//www.lazada.com.my/products/new-nokia-105-4th-edition-dual-sim-2019-with-dual-sim-card-slots-warranty-1-year-for-nokia-malaysia-i576832783.html,4.877712031558185
"UMIDIGI F3S Smartphone Android 11 Global Version Unisoc T610 6GB+128GB 6.7"" 48MP Triple Camera Cellphone 5150mAh NFC Cellular",UMIDIGI,849.00,//www.lazada.com.my/products/umidigi-f3s-smartphone-android-11-global-version-unisoc-t610-6gb128gb-67-48mp-triple-camera-cellphone-5150mah-nfc-cellular-i3109965211.html,
"[In Stock] UMIDIGI A11S Global Version Smartphone 4GB 32GB 5150 mAh 16MP Triple Camera 6.53"" HD+ Large Full Display Cellphone",UMIDIGI,399.00,//www.lazada.com.my/products/in-stock-umidigi-a11s-global-version-smartphone-4gb-32gb-5150-mah-16mp-triple-camera-653-hd-large-full-display-cellphone-i2628713055.html,
"HONOR X9 5G (8GB + 2GB Extension + 128GB) | 6.81""FullView Display,120Hz 66W HONOR SuperCharge 4800mAh Large Battery, 6nm Snapdragon 695 5G Chipset, 1 Year warranty by HONOR MALAYSIA",Honor,1150.00,//www.lazada.com.my/products/honor-x9-5g-8gb-2gb-extension-128gb-681fullview-display120hz-66w-honor-supercharge-4800mah-large-battery-6nm-snapdragon-695-5g-chipset-1-year-warranty-by-honor-malaysia-i2935606220.html,5.0
"UMIDIGI Power 7S Smartphone Android 11 Global Version Celular Unisoc T310 4GB + 64GB 6.7"" HD+ 16MP Camera 6150mAh Cellphone",UMIDIGI,599.00,//www.lazada.com.my/products/umidigi-power-7s-smartphone-android-11-global-version-celular-unisoc-t310-4gb-64gb-67-hd-16mp-camera-6150mah-cellphone-i3120040446.html,
"UMIDIGI F3 Android 11 Smartphone 8GB+128GB Helio P70 Processor Octa Core 48MP AI Triple Camera 6.7"" Display NFC 5150mAh Celular Global Version",UMIDIGI,899.00,//www.lazada.com.my/products/umidigi-f3-android-11-smartphone-8gb128gb-helio-p70-processor-octa-core-48mp-ai-triple-camera-67-display-nfc-5150mah-celular-global-version-i3116694075.html,
[Malaysia Set] Xiaomi Mi 11 Lite 5G (128GB/256GB ROM | 8GB RAM) Smartphone with 1 Year Xiaomi Malaysia Warranty,Xiaomi,1399.00,//www.lazada.com.my/products/malaysia-set-xiaomi-mi-11-lite-5g-128gb256gb-rom-8gb-ram-smartphone-with-1-year-xiaomi-malaysia-warranty-i2493689612.html,
"UMIDIGI A11 Pro Max Global Version 6.8""FHD+ Screen Smartphone 128GB Helio G80 48MP AI Triple Camera 5150mAh",UMIDIGI,609.00,//www.lazada.com.my/products/umidigi-a11-pro-max-global-version-68fhd-screen-smartphone-128gb-helio-g80-48mp-ai-triple-camera-5150mah-i2466310221.html,4.818181818181818
"UMIDIGI Power 7 Phone Android 11 Smartphone Unisoc T610 4GB + 128GB 6.7"" Display 20MP Rear Camera 6150mAh Battery Cellular",UMIDIGI,699.00,//www.lazada.com.my/products/umidigi-power-7-phone-android-11-smartphone-unisoc-t610-4gb-128gb-67-display-20mp-rear-camera-6150mah-battery-cellular-i3118123829.html,
UMIDIGI Power 5 Smartphone Android 11 Helio G25 16MP AI Triple Camera 6150mAh 6.53'' Full Screen Global Version,UMIDIGI,429.00,//www.lazada.com.my/products/umidigi-power-5-smartphone-android-11-helio-g25-16mp-ai-triple-camera-6150mah-653-full-screen-global-version-i2468533341.html,
Xiaomi 12T Pro [8GB RAM + 256GB ROM / 12GB RAM + 256GB ROM] - Original Mi Malaysia,Xiaomi,2699.00,//www.lazada.com.my/products/xiaomi-12t-pro-8gb-ram-256gb-rom-12gb-ram-256gb-rom-original-mi-malaysia-i3228248001.html,
Xiaomi 12T [8GB RAM + 256GB ROM] - Original Mi Malaysia,Xiaomi,1999.00,//www.lazada.com.my/products/xiaomi-12t-8gb-ram-256gb-rom-original-mi-malaysia-i3228057778.html,
"Xiaomi Mi 11 Lite Smartphones 5G (8GB RAM + 256GB ROM),6.55” FHD+ AMOLED DotDisplay, Snapdragon 732G-1 Year Warranty By Xiaomi Malaysia",Xiaomi,1429.00,//www.lazada.com.my/products/xiaomi-mi-11-lite-smartphones-5g-8gb-ram-256gb-rom655-fhd-amoled-dotdisplay-snapdragon-732g-1-year-warranty-by-xiaomi-malaysia-i2529463339.html,5.0
realme 7 5G Smartphone (8GB RAM + 128GB ROM) - 120Hz Ultra Smooth Display | 30W Dart Charge | 5000mAh Massive Battery,Realme,1299.00,//www.lazada.com.my/products/realme-7-5g-smartphone-8gb-ram-128gb-rom-120hz-ultra-smooth-display-30w-dart-charge-5000mah-massive-battery-i1758464134.html,4.922077922077922
"Redmi Note 11 (6GB RAM+128GB ROM) 6nm Snapdragon® 680, 90Hz FHD+ AMOLED DotDisplay 6.43"", 5000mAh 33W Pro fast charging Smartphone, 50MP AI quad camera with 1 Year Xiaomi Malaysia Warranty",Xiaomi Redmi,799.00,//www.lazada.com.my/products/redmi-note-11-6gb-ram128gb-rom-6nm-snapdragon-680-90hz-fhd-amoled-dotdisplay-643-5000mah-33w-pro-fast-charging-smartphone-50mp-ai-quad-camera-with-1-year-xiaomi-malaysia-warranty-i2802422370.html,5.0
"xiaomi【Ready Stock+Free Shipping】DOOGEE V10 Dual 5G Outdoor Smartphone 6.39 ""Android 11 Outdoor Mobile Phone, 8GB + 128GB MediaTek Dimensity 700, Infrared Thermometerr 48MP Triple Camera, 8500mAh Battery, IP68 / IP69K NFC, Red/Black/Orange （In Stock）)",DOOGEE,1119.00,//www.lazada.com.my/products/xiaomiready-stockfree-shippingdoogee-v10-dual-5g-outdoor-smartphone-639-android-11-outdoor-mobile-phone-8gb-128gb-mediatek-dimensity-700-infrared-thermometerr-48mp-triple-camera-8500mah-battery-ip68-ip69k-nfc-redblackorange-in-stock-i2508547142.html,4.615384615384615
"Xiaomi Redmi Note 11S (8Gb Ram+128Gb Rom) 90Hz FHD+ AMOLED DotDisplay 6.43"" ,90Hz FHD+ AMOLED DotDisplay, High-performance MediaTek Helio G96,108MP pro-grade main camera",Xiaomi Redmi,894.00,//www.lazada.com.my/products/xiaomi-redmi-note-11s-8gb-ram128gb-rom-90hz-fhd-amoled-dotdisplay-643-90hz-fhd-amoled-dotdisplay-high-performance-mediatek-helio-g96108mp-pro-grade-main-camera-i2802612206.html,5.0
Xiaomi Redmi Note 11 Pro | 128GB ROM + 8GB | 108MP Powerhouse | 67W Turbo Charging | 120Hz FHD+ AMOLED DotDisplay | MediaTek Helio G96 | Smartphone with 1 Year Warranty,Xiaomi,1094.00,//www.lazada.com.my/products/xiaomi-redmi-note-11-pro-128gb-rom-8gb-108mp-powerhouse-67w-turbo-charging-120hz-fhd-amoled-dotdisplay-mediatek-helio-g96-smartphone-with-1-year-warranty-i2797223719.html,4.6
"UMIDIGI A13 Pro Global Version Smartphone NFC 48MP AI Triple Camera 128GB 6.7"" Full Display 5150mAh Battery",UMIDIGI,659.00,//www.lazada.com.my/products/umidigi-a13-pro-global-version-smartphone-nfc-48mp-ai-triple-camera-128gb-67-full-display-5150mah-battery-i2848809803.html,
NO 1. fully free unlimitet high speed internet life time,No Brand,23.90,//www.lazada.com.my/products/no-1-fully-free-unlimitet-high-speed-internet-life-time-i3267769991.html,5.0
[READY STOCK] Xiaomi Mi 11T 5G [MediaTek Dimensity 1200 | 8GB RAM + 256GB ROM | 120Hz AdaptiveSync AMOLED Display] 1 Year Warranty,Xiaomi,1499.00,//www.lazada.com.my/products/ready-stock-xiaomi-mi-11t-5g-mediatek-dimensity-1200-8gb-ram-256gb-rom-120hz-adaptivesync-amoled-display-1-year-warranty-i2493803642.html,5.0
"Xiaomi Mi 11 Lite Smartphones 5G (8GB RAM + 128GB ROM),6.55” FHD+ AMOLED DotDisplay, Snapdragon 732G-1 Year Warranty By Xiaomi Malaysia",Xiaomi,1250.00,//www.lazada.com.my/products/xiaomi-mi-11-lite-smartphones-5g-8gb-ram-128gb-rom655-fhd-amoled-dotdisplay-snapdragon-732g-1-year-warranty-by-xiaomi-malaysia-i2529243622.html,5.0
"UMIDIGI A13S Android Smartphone 6.7"" HD+ Display Global Version 4GB 32/64GB 5150mAh Battery 16MP Rear Camera Phone Lowest Price Deals",UMIDIGI,449.00,//www.lazada.com.my/products/umidigi-a13s-android-smartphone-67-hd-display-global-version-4gb-3264gb-5150mah-battery-16mp-rear-camera-phone-lowest-price-deals-i2932351340.html,
Xiaomi Redmi Note 11 Pro 5G [8GB RAM + 128GB ROM] Original Xiaomi Malaysia,Xiaomi,1229.00,//www.lazada.com.my/products/xiaomi-redmi-note-11-pro-5g-8gb-ram-128gb-rom-original-xiaomi-malaysia-i2969761687.html,
"UMIDIGI Power 7 Max Android 11 Smartphone 10000mAh Unisoc T610 6GB + 128GB 6.7"" Display 48MP Camera NFC Cellular Cellphone",UMIDIGI,899.00,//www.lazada.com.my/products/umidigi-power-7-max-android-11-smartphone-10000mah-unisoc-t610-6gb-128gb-67-display-48mp-camera-nfc-cellular-cellphone-i3121086055.html,
UMIDIGI BISON 2 / BISON 2 PRO Gloabl Version Android 12 Rugged Smartphone Helio P90 Celular 48MP Triple Camera 6150mAh Cellphone,UMIDIGI,939.00,//www.lazada.com.my/products/umidigi-bison-2-bison-2-pro-gloabl-version-android-12-rugged-smartphone-helio-p90-celular-48mp-triple-camera-6150mah-cellphone-i3185718891.html,5.0
Samsung Galaxy A33 5G [8GB RAM + 128GB ROM] - Original Samsung Malaysia,Samsung MY,1199.00,//www.lazada.com.my/products/samsung-galaxy-a33-5g-8gb-ram-128gb-rom-original-samsung-malaysia-i2973391705.html,5.0
"Xiaomi Redmi Note 11 Pro 4G (8GB RAM+128GB ROM),108MP pro-grade main camera, 120Hz FHD+ AMOLED DotDisplay,  5000mAh  67W turbo charging, 6.67"" FHD+  AMOLED Display, LiquidCool technology -1 YEAR WARRANTY BY XIAOMI MALAYSIA",Xiaomi Redmi,1050.00,//www.lazada.com.my/products/xiaomi-redmi-note-11-pro-4g-8gb-ram128gb-rom108mp-pro-grade-main-camera-120hz-fhd-amoled-dotdisplay-5000mah-67w-turbo-charging-667-fhd-amoled-display-liquidcool-technology-1-year-warranty-by-xiaomi-malaysia-i2995895409.html,
vivo Y33T smartphone | 8GB+4GB Extended RAM + 128 ROM | Snapdragon 680 processor | 50MP Main Camera | 8.0mm Trendy Slim Design | 5000mAh Battery+18W Fast Charge| That's Y,Vivo,999.00,//www.lazada.com.my/products/vivo-y33t-smartphone-8gb4gb-extended-ram-128-rom-snapdragon-680-processor-50mp-main-camera-80mm-trendy-slim-design-5000mah-battery18w-fast-charge-thats-y-i2883297646.html,4.805555555555555
"UMIDIGI F3SE Android 11 Global Version Smartphone 4GB+128GB 6.7"" HD+ Display 16MP Camera Cellphone 5150mAh Battery Cellular",UMIDIGI,699.00,//www.lazada.com.my/products/umidigi-f3se-android-11-global-version-smartphone-4gb128gb-67-hd-display-16mp-camera-cellphone-5150mah-battery-cellular-i3115141345.html,
"UMIDIGI BISON IP68/IP69K Waterproof Rugged Cellphone Android 11 8GB+128GB 48MP Matrix Quad Camera 6.3"" FHD+ Display NFC Smartphone",UMIDIGI,798.00,//www.lazada.com.my/products/umidigi-bison-ip68ip69k-waterproof-rugged-cellphone-android-11-8gb128gb-48mp-matrix-quad-camera-63-fhd-display-nfc-smartphone-i2468522749.html,5.0
"vivo X50 5G Smartphone | 8GB + 128GB | 6.56"" AMOLED | 4,200mAh + 33W FlashCharge | Photography. Redefined.",Vivo,2399.00,//www.lazada.com.my/products/vivo-x50-5g-smartphone-8gb-128gb-656-amoled-4200mah-33w-flashcharge-photography-redefined-i1241858302.html,4.876404494382022
"vivo V23e Smartphone | 12(8+4)GB Extended RAM +128GB ROM | 6.44"" AMOLED | 64MP AF Camera | 7.36mm Slim Sleek Body |  44W Flash Charge | Be Authentic. Be You",Vivo,1199.00,//www.lazada.com.my/products/vivo-v23e-smartphone-1284gb-extended-ram-128gb-rom-644-amoled-64mp-af-camera-736mm-slim-sleek-body-44w-flash-charge-be-authentic-be-you-i2659687864.html,4.947368421052632
Xiaomi 12 Lite 5G [8GB+128GB / 8GB+256GB] - Original Mi Malaysia,Xiaomi,1599.00,//www.lazada.com.my/products/xiaomi-12-lite-5g-8gb128gb-8gb256gb-original-mi-malaysia-i3155638144.html,
Xiaomi Redmi 10C [4GB+64GB / 4GB+128GB] - Original Mi Malaysia,Xiaomi,529.00,//www.lazada.com.my/products/xiaomi-redmi-10c-4gb64gb-4gb128gb-original-mi-malaysia-i2874765423.html,5.0
Redmi Note 11 Pro 4G [8GB RAM + 128GB ROM] - Original Mi Malaysia,Xiaomi,1088.00,//www.lazada.com.my/products/redmi-note-11-pro-4g-8gb-ram-128gb-rom-original-mi-malaysia-i2969816299.html,
"Nokia 5.4 Smartphone (4gb RAM | 128gb ROM) 6.39” HD+ Punch Hole Display,4000mAh Li-Po Battery with 10W Quick Charge-1Year Warranty Nokia Malaysia",Nokia,899.00,//www.lazada.com.my/products/nokia-54-smartphone-4gb-ram-128gb-rom-639-hd-punch-hole-display4000mah-li-po-battery-with-10w-quick-charge-1year-warranty-nokia-malaysia-i2017864213.html,4.96078431372549
[FREE DELIVERY] SAMSUNG SM-F936BZEDXME GALAXY Z FOLD4 BEIGE 12+256GB,Samsung,5499.00,//www.lazada.com.my/products/free-delivery-samsung-sm-f936bzedxme-galaxy-z-fold4-beige-12256gb-i3137261922.html,
"UMIDIGI A9 Pro (6GB RAM+128GB ROM ) Smartphone,1 Year UMIDIGI Warranty,Free Shipping",UMIDIGI,539.00,//www.lazada.com.my/products/umidigi-a9-pro-6gb-ram128gb-rom-smartphone1-year-umidigi-warrantyfree-shipping-i1825872382.html,5.0
Xiaomi Redmi Note 11 Pro 5G | 128GB ROM + 8GB | 108MP Powerhouse | Snapdragon® 695 | 67W Turbo Charging | 120Hz FHD+ AMOLED DotDisplay | Smartphone with 1 Year Warranty,Xiaomi,1254.00,//www.lazada.com.my/products/xiaomi-redmi-note-11-pro-5g-128gb-rom-8gb-108mp-powerhouse-snapdragon-695-67w-turbo-charging-120hz-fhd-amoled-dotdisplay-smartphone-with-1-year-warranty-i2797034658.html,5.0
Global Version UMIDIGI BISON X10 Rugged Smartphone IP68&IP69K 64GB NFC 20MP Triple Camera 6150mAh Phone,UMIDIGI,629.00,//www.lazada.com.my/products/global-version-umidigi-bison-x10-rugged-smartphone-ip68ip69k-64gb-nfc-20mp-triple-camera-6150mah-phone-i2936028330.html,5.0
fully free unlimitet high speed internet life time,No Brand,50.00,//www.lazada.com.my/products/fully-free-unlimitet-high-speed-internet-life-time-i2830474249.html,4.754716981132075
Oppo F11 6.53 inch' (6GB Ram + 128GB Rom) New With 1 Year Warranty Original SmartPhones,OPPO,492.00,//www.lazada.com.my/products/oppo-f11-653-inch-6gb-ram-128gb-rom-new-with-1-year-warranty-original-smartphones-i2806416474.html,4.5
"HONOR X9 4G (8GB + 2GB Extension + 128GB) | 6.81""FullView Display,120Hz 66W HONOR SuperCharge 4800mAh Large Battery, 6nm Snapdragon 695 5G Chipset, 1 Year warranty by HONOR MALAYSIA",Honor,999.00,//www.lazada.com.my/products/honor-x9-4g-8gb-2gb-extension-128gb-681fullview-display120hz-66w-honor-supercharge-4800mah-large-battery-6nm-snapdragon-695-5g-chipset-1-year-warranty-by-honor-malaysia-i2979439862.html,
